id_persona,clave_sobrevivencia,nombre,sexo,clase_viaje,id_bote,id_cuerpo,edad,cantidad_parientes,cantidad_familiares,acompañantes,rango_edad,sobrevivencia,clase,acompañada
10039,0,"Millet, Mr. Francis Davis",HOMBRE,1,,249.0,65.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10040,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",HOMBRE,1,9,,45.0,0,0,0,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,SOLA
10041,0,"Rowe, Mr. Alfred G",HOMBRE,1,,109.0,33.0,0,0,0,ADULTOS,MURIÓ,PRIMERA CLASE,SOLA
10042,1,"Seward, Mr. Frederic Kimber",HOMBRE,1,7,,34.0,0,0,0,ADULTOS,VIVIÓ,PRIMERA CLASE,SOLA
10043,0,"Smart, Mr. John Montgomery",HOMBRE,1,,,56.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10044,0,"Stead, Mr. William Thomas",HOMBRE,1,,,62.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10045,0,"Weir, Col. John",HOMBRE,1,,,60.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10046,1,"Willard, Miss. Constance",MUJER,1,8 10,,21.0,0,0,0,ADULTOS,VIVIÓ,PRIMERA CLASE,SOLA
10047,0,"Wright, Mr. George",HOMBRE,1,,,62.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10048,1,"Candee, Mrs. Edward (Helen Churchill Hungerford)",MUJER,1,6,,53.0,0,0,0,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,SOLA
10049,1,"Brown, Mrs. James Joseph (Margaret Tobin)",MUJER,1,6,,44.0,0,0,0,MEDIANA EDAD,VIVIÓ,PRIMERA CLASE,SOLA
10050,1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",MUJER,1,5,,,0,0,0,,VIVIÓ,PRIMERA CLASE,SOLA
10051,1,"Frauenthal, Mr. Isaac Gerald",HOMBRE,1,5,,43.0,1,0,1,MEDIANA EDAD,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10052,0,"Lewy, Mr. Ervin G",HOMBRE,1,,,,0,0,0,,MURIÓ,PRIMERA CLASE,SOLA
10053,1,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",MUJER,1,6,,55.0,0,0,0,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,SOLA
10054,0,"Ovies Y Rodriguez, Mr. Servando",HOMBRE,1,,189.0,28.5,0,0,0,ADULTOS,MURIÓ,PRIMERA CLASE,SOLA
10055,1,"Rosenbaum, Miss. Edith Louise",MUJER,1,11,,33.0,0,0,0,ADULTOS,VIVIÓ,PRIMERA CLASE,SOLA
10056,0,"Stewart, Mr. Albert A",HOMBRE,1,,,,0,0,0,,MURIÓ,PRIMERA CLASE,SOLA
10057,0,"Uruchurtu, Don. Manuel E",HOMBRE,1,,,40.0,0,0,0,MEDIANA EDAD,MURIÓ,PRIMERA CLASE,SOLA
10058,0,"Foreman, Mr. Benjamin Laventall",HOMBRE,1,,,30.0,0,0,0,ADULTOS,MURIÓ,PRIMERA CLASE,SOLA
10059,1,"Gracie, Col. Archibald Iv",HOMBRE,1,B,,53.0,0,0,0,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,SOLA
10060,0,"Partner, Mr. Austen",HOMBRE,1,,166.0,45.5,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10061,1,"Tucker, Mr. Gilbert Milligan Jr",HOMBRE,1,7,,31.0,0,0,0,ADULTOS,VIVIÓ,PRIMERA CLASE,SOLA
10062,0,"Isham, Miss. Ann Elizabeth",MUJER,1,,,50.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10063,1,"Chevre, Mr. Paul Romaine",HOMBRE,1,7,,45.0,0,0,0,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,SOLA
10064,0,"Dulles, Mr. William Crothers",HOMBRE,1,,133.0,39.0,0,0,0,MEDIANA EDAD,MURIÓ,PRIMERA CLASE,SOLA
10065,0,"Kent, Mr. Edward Austin",HOMBRE,1,,258.0,58.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10066,1,"Marechal, Mr. Pierre",HOMBRE,1,7,,,0,0,0,,VIVIÓ,PRIMERA CLASE,SOLA
10067,0,"Natsch, Mr. Charles H",HOMBRE,1,,,37.0,0,1,1,MEDIANA EDAD,MURIÓ,PRIMERA CLASE,ACOMPAÑADA
10068,1,"Barkworth, Mr. Algernon Henry Wilson",HOMBRE,1,B,,80.0,0,0,0,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,SOLA
10069,1,"Behr, Mr. Karl Howell",HOMBRE,1,5,,26.0,0,0,0,ADULTOS,VIVIÓ,PRIMERA CLASE,SOLA
10070,1,"Graham, Miss. Margaret Edith",MUJER,1,3,,19.0,0,0,0,JOVENES,VIVIÓ,PRIMERA CLASE,SOLA
10071,1,"Hawksford, Mr. Walter James",HOMBRE,1,3,,,0,0,0,,VIVIÓ,PRIMERA CLASE,SOLA
10072,0,"Long, Mr. Milton Clyde",HOMBRE,1,,126.0,29.0,0,0,0,ADULTOS,MURIÓ,PRIMERA CLASE,SOLA
10073,0,"Brady, Mr. John Bertram",HOMBRE,1,,,41.0,0,0,0,MEDIANA EDAD,MURIÓ,PRIMERA CLASE,SOLA
10074,1,"Daniel, Mr. Robert Williams",HOMBRE,1,3,,27.0,0,0,0,ADULTOS,VIVIÓ,PRIMERA CLASE,SOLA
10075,0,"Molson, Mr. Harry Markland",HOMBRE,1,,,55.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10076,1,"Peuchen, Major. Arthur Godfrey",HOMBRE,1,6,,52.0,0,0,0,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,SOLA
10077,1,"Saalfeld, Mr. Adolphe",HOMBRE,1,3,,,0,0,0,,VIVIÓ,PRIMERA CLASE,SOLA
10078,1,"Stahelin-Maeglin, Dr. Max",HOMBRE,1,3,,32.0,0,0,0,ADULTOS,VIVIÓ,PRIMERA CLASE,SOLA
10079,0,"Hoyt, Mr. William Fisher",HOMBRE,1,14,,,0,0,0,,MURIÓ,PRIMERA CLASE,SOLA
10080,0,"Smith, Mr. James Clinch",HOMBRE,1,,,56.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10081,1,"Blank, Mr. Henry",HOMBRE,1,7,,40.0,0,0,0,MEDIANA EDAD,VIVIÓ,PRIMERA CLASE,SOLA
10082,0,"Cairns, Mr. Alexander",HOMBRE,1,,,,0,0,0,,MURIÓ,PRIMERA CLASE,SOLA
10083,1,"Serepeca, Miss. Augusta",MUJER,1,4,,30.0,0,0,0,ADULTOS,VIVIÓ,PRIMERA CLASE,SOLA
10084,0,"Evans, Miss. Edith Corse",MUJER,1,,,36.0,0,0,0,MEDIANA EDAD,MURIÓ,PRIMERA CLASE,SOLA
10085,1,"Flegenheim, Mrs. Alfred (Antoinette)",MUJER,1,7,,,0,0,0,,VIVIÓ,PRIMERA CLASE,SOLA
10086,0,"Sutton, Mr. Frederick",HOMBRE,1,,46.0,61.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10087,0,"Van Der Hoef, Mr. Wyckoff",HOMBRE,1,,245.0,61.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10088,0,"Walker, Mr. William Anderson",HOMBRE,1,,,47.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10089,0,"Goldschmidt, Mr. George B",HOMBRE,1,,,71.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10090,0,"Williams-Lambert, Mr. Fletcher Fellows",HOMBRE,1,,,,0,0,0,,MURIÓ,PRIMERA CLASE,SOLA
10091,1,"Simonius-Blumer, Col. Oberst Alfons",HOMBRE,1,3,,56.0,0,0,0,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,SOLA
10092,1,"Sloper, Mr. William Thompson",HOMBRE,1,7,,28.0,0,0,0,ADULTOS,VIVIÓ,PRIMERA CLASE,SOLA
10093,1,"Woolner, Mr. Hugh",HOMBRE,1,D,,,0,0,0,,VIVIÓ,PRIMERA CLASE,SOLA
10094,0,"Gee, Mr. Arthur H",HOMBRE,1,,275.0,47.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10095,1,"Lines, Miss. Mary Conover",MUJER,1,9,,16.0,0,1,1,JOVENES,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10096,1,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",MUJER,1,9,,51.0,0,1,1,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10097,0,"Brewe, Dr. Arthur Jackson",HOMBRE,1,,,,0,0,0,,MURIÓ,PRIMERA CLASE,SOLA
10098,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",MUJER,1,1,,48.0,1,0,1,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10099,1,"Rheims, Mr. George Alexander Lucien",HOMBRE,1,A,,,0,0,0,,VIVIÓ,PRIMERA CLASE,SOLA
10100,0,"Ross, Mr. John Hugo",HOMBRE,1,,,36.0,0,0,0,MEDIANA EDAD,MURIÓ,PRIMERA CLASE,SOLA
10101,0,"Harrington, Mr. Charles H",HOMBRE,1,,,,0,0,0,,MURIÓ,PRIMERA CLASE,SOLA
10102,0,"Moore, Mr. Clarence Bloomfield",HOMBRE,1,,,47.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10103,0,"Head, Mr. Christopher",HOMBRE,1,,,42.0,0,0,0,MEDIANA EDAD,MURIÓ,PRIMERA CLASE,SOLA
10104,0,"Loring, Mr. Joseph Holland",HOMBRE,1,,,30.0,0,0,0,ADULTOS,MURIÓ,PRIMERA CLASE,SOLA
10105,0,"Carrau, Mr. Francisco M",HOMBRE,1,,,28.0,0,0,0,ADULTOS,MURIÓ,PRIMERA CLASE,SOLA
10106,0,"Carrau, Mr. Jose Pedro",HOMBRE,1,,,17.0,0,0,0,JOVENES,MURIÓ,PRIMERA CLASE,SOLA
10107,1,"Frolicher, Miss. Hedwig Margaritha",MUJER,1,5,,22.0,0,2,2,ADULTOS,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10108,,"Artagaveytia, Mr. Ramon",HOMBRE,1,,22.0,71.0,0,0,0,ADULTOS MAYORES,,PRIMERA CLASE,SOLA
10109,1,"Mayne, Mlle. Berthe Antonine (""Mrs De Villiers"")",MUJER,1,6,,24.0,0,0,0,ADULTOS,VIVIÓ,PRIMERA CLASE,SOLA
10110,0,"Hipkins, Mr. William Edward",HOMBRE,1,,,55.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10111,0,"Rood, Mr. Hugh Roscoe",HOMBRE,1,,,,0,0,0,,MURIÓ,PRIMERA CLASE,SOLA
10112,0,"Brandeis, Mr. Emil",HOMBRE,1,,208.0,48.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10113,0,"Roebling, Mr. Washington Augustus Ii",HOMBRE,1,,,31.0,0,0,0,ADULTOS,MURIÓ,PRIMERA CLASE,SOLA
10114,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",MUJER,1,D,,53.0,2,0,2,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10115,1,"Brown, Mrs. John Murray (Caroline Lane Lamson)",MUJER,1,D,,59.0,2,0,2,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10116,0,"Hilliard, Mr. Herbert Henry",HOMBRE,1,,,,0,0,0,,MURIÓ,PRIMERA CLASE,SOLA
10117,0,"Kenyon, Mr. Frederick R",HOMBRE,1,,,41.0,1,0,1,MEDIANA EDAD,MURIÓ,PRIMERA CLASE,ACOMPAÑADA
10118,1,"Kenyon, Mrs. Frederick R (Marion)",MUJER,1,8,,,1,0,1,,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10119,0,"Mccarthy, Mr. Timothy J",HOMBRE,1,,175.0,54.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10120,0,"Clifford, Mr. George Quincy",HOMBRE,1,,,,0,0,0,,MURIÓ,PRIMERA CLASE,SOLA
10121,0,"Davidson, Mr. Thornton",HOMBRE,1,,,31.0,1,0,1,ADULTOS,MURIÓ,PRIMERA CLASE,ACOMPAÑADA
10122,1,"Davidson, Mrs. Thornton (Orian Hays)",MUJER,1,3,,27.0,1,2,3,ADULTOS,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10123,0,"Holverson, Mr. Alexander Oskar",HOMBRE,1,,38.0,42.0,1,0,1,MEDIANA EDAD,MURIÓ,PRIMERA CLASE,ACOMPAÑADA
10124,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",MUJER,1,8,,35.0,1,0,1,MEDIANA EDAD,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10125,0,"Porter, Mr. Walter Chamberlain",HOMBRE,1,,207.0,47.0,0,0,0,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,SOLA
10126,1,"Taylor, Mr. Elmer Zebley",HOMBRE,1,5 7,,48.0,1,0,1,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10127,1,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",MUJER,1,5 7,,,1,0,1,,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10128,1,"Beckwith, Mr. Richard Leonard",HOMBRE,1,5,,37.0,1,1,2,MEDIANA EDAD,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10129,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",MUJER,1,5,,47.0,1,1,2,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10130,1,"Kimball, Mr. Edwin Nelson Jr",HOMBRE,1,5,,42.0,1,0,1,MEDIANA EDAD,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10131,1,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",MUJER,1,5,,45.0,1,0,1,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10132,1,"Chambers, Mr. Norman Campbell",HOMBRE,1,5,,27.0,1,0,1,ADULTOS,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10133,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",MUJER,1,5,,33.0,1,0,1,ADULTOS,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10134,0,"Futrelle, Mr. Jacques Heath",HOMBRE,1,,,37.0,1,0,1,MEDIANA EDAD,MURIÓ,PRIMERA CLASE,ACOMPAÑADA
10135,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",MUJER,1,D,,35.0,1,0,1,MEDIANA EDAD,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10136,0,"Marvin, Mr. Daniel Warner",HOMBRE,1,,,19.0,1,0,1,JOVENES,MURIÓ,PRIMERA CLASE,ACOMPAÑADA
10137,1,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",MUJER,1,10,,18.0,1,0,1,JOVENES,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10138,1,"Bowerman, Miss. Elsie Edith",MUJER,1,6,,22.0,0,1,1,ADULTOS,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10139,1,"Chibnall, Mrs. (Edith Martha Bowerman)",MUJER,1,6,,,0,1,1,,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10140,1,"Harder, Mr. George Achilles",HOMBRE,1,5,,25.0,1,0,1,ADULTOS,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10141,1,"Harder, Mrs. George Achilles (Dorothy Annan)",MUJER,1,5,,25.0,1,0,1,ADULTOS,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10142,1,"Stengel, Mr. Charles Emil Henry",HOMBRE,1,1,,54.0,1,0,1,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10143,1,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",MUJER,1,5,,43.0,1,0,1,MEDIANA EDAD,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10144,0,"Silvey, Mr. William Baird",HOMBRE,1,,,50.0,1,0,1,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,ACOMPAÑADA
10145,1,"Silvey, Mrs. William Baird (Alice Munger)",MUJER,1,11,,39.0,1,0,1,MEDIANA EDAD,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10146,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",HOMBRE,1,1,,49.0,1,0,1,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10147,1,"Francatelli, Miss. Laura Mabel",MUJER,1,1,,30.0,0,0,0,ADULTOS,VIVIÓ,PRIMERA CLASE,SOLA
10148,1,"Dick, Mr. Albert Adrian",,1,3,,31.0,1,0,1,ADULTOS,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10149,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)",MUJER,1,3,,17.0,1,0,1,JOVENES,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10150,1,"Mock, Mr. Philipp Edmund",HOMBRE,1,11,,30.0,1,0,1,ADULTOS,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10151,1,"Schabert, Mrs. Paul (Emma Mock)",MUJER,1,11,,35.0,1,0,1,MEDIANA EDAD,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10152,1,"Hippach, Miss. Jean Gertrude",MUJER,1,4,,16.0,0,1,1,JOVENES,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10153,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",MUJER,1,4,,44.0,0,1,1,MEDIANA EDAD,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10154,1,"Gibson, Miss. Dorothy Winifred",MUJER,1,7,,22.0,0,1,1,ADULTOS,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10155,1,"Gibson, Mrs. Leonard (Pauline C Boeson)",MUJER,1,7,,45.0,0,1,1,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10156,0,"Rothschild, Mr. Martin",HOMBRE,1,,,55.0,1,0,1,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,ACOMPAÑADA
10157,1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",MUJER,1,6,,54.0,1,0,1,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10158,0,"Smith, Mr. Lucien Philip",HOMBRE,1,,,24.0,1,0,1,ADULTOS,MURIÓ,PRIMERA CLASE,ACOMPAÑADA
10159,1,"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",MUJER,1,6,,18.0,1,0,1,JOVENES,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10160,0,"Chaffee, Mr. Herbert Fuller",HOMBRE,1,,,46.0,1,0,1,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,ACOMPAÑADA
10161,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",MUJER,1,4,,47.0,1,0,1,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10162,0,"Williams, Mr. Charles Duane",HOMBRE,1,,,51.0,0,1,1,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,ACOMPAÑADA
10163,1,"Williams, Mr. Richard Norris Ii",HOMBRE,1,A,,21.0,0,1,1,ADULTOS,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10164,1,"Ostby, Miss. Helene Ragnhild",MUJER,1,5,,22.0,0,1,1,ADULTOS,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10165,0,"Ostby, Mr. Engelhart Cornelius",HOMBRE,1,,234.0,65.0,0,1,1,ADULTOS MAYORES,MURIÓ,PRIMERA CLASE,ACOMPAÑADA
10166,1,"Greenfield, Mr. William Bertram",HOMBRE,1,7,,23.0,0,1,1,ADULTOS,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10167,1,"Greenfield, Mrs. Leo David (Blanche Strouse)",MUJER,1,7,,45.0,0,1,1,ADULTOS MAYORES,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10168,0,"Pears, Mr. Thomas Clinton",HOMBRE,1,,,29.0,1,0,1,ADULTOS,MURIÓ,PRIMERA CLASE,ACOMPAÑADA
10169,1,"Pears, Mrs. Thomas (Edith Wearne)",MUJER,1,8,,22.0,1,0,1,ADULTOS,VIVIÓ,PRIMERA CLASE,ACOMPAÑADA
10170,1,"Aubart, Mme. Leontine Pauline",MUJER,1,9,,24.0,0,0,0,ADULTOS,VIVIÓ,PRIMERA CLASE,SOLA
10171,1,"Sagesser, Mlle. Emma",MUJER,1,9,,24.0,0,0,0,ADULTOS,VIVIÓ,PRIMERA CLASE,SOLA
