id_operacion,fecha_operacion,precio,public_id,codigo_frente_agua,codigo_vista,codigo_condicion,agente_id,codigo_pais,año,año_mes,mes,vista,condición,país,agente,anio_construc,latitud,longitud,codigo_postal,m2_construccion,m2_terreno,m2_sobre_calle,m2_sotano,pisos,recamaras,banios,anio_renovacion
100300280,18/10/2022,355000,12495373,0,0,3,9,1,2022,2022-10,10-OCTOBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2010,47.4867,-122.152,98059,435.9,1456,1430,0,2,3,2.25,0
108000127,07/12/2022,456500,12406739,0,0,3,9,1,2022,2022-12,12-DECEMBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2008,47.7027,-122.361,98177,609.6,703.8,2000,0,3,4,3.5,0
114100234,28/04/2023,402500,10218057,0,0,3,9,1,2023,2023-04,04-APRIL,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1979,47.7668,-122.243,98028,658.4,2907.8,2160,0,2,3,2.25,0
114100234,28/04/2023,402500,10218057,0,0,3,9,1,2023,2023-04,04-APRIL,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1979,47.7668,-122.243,98028,658.4,2907.8,2160,0,2,3,2.25,0
120059044,15/02/2023,250000,14647115,0,0,3,9,1,2023,2023-02,02-FEBRUARY,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1996,47.2558,-122.122,98092,496.2,87281,1628,0,1,3,1.75,0
120059044,15/02/2023,250000,14647115,0,0,3,9,1,2023,2023-02,02-FEBRUARY,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1996,47.2558,-122.122,98092,496.2,87281,1628,0,1,3,1.75,0
123039207,07/12/2022,283000,10058487,0,0,3,9,1,2022,2022-12,12-DECEMBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1959,47.5145,-122.365,98106,640.1,2487.2,1200,900,1,4,2,0
123039604,29/06/2022,102500,12584239,0,0,3,9,1,2022,2022-06,06-JUNE,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1937,47.514,-122.359,98106,249.9,1316.7,820,0,1,2,1,0
123059127,30/04/2022,625000,11111365,0,0,3,9,1,2022,2022-04,04-APRIL,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2007,47.5133,-122.11,98059,832.1,16463.5,1560,1170,1,4,3.25,0
200520080,30/07/2022,595000,13620629,0,0,3,9,1,2022,2022-07,07-JULY,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1991,47.7383,-122.22,98011,810.8,3242.2,2660,0,2,3,2.5,0
203100910,21/09/2022,475000,10421988,0,0,3,9,1,2022,2022-09,09-SEPTEMBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1994,47.6403,-121.964,98053,701,8680.7,2300,0,2,5,2.5,0
203101330,29/06/2022,485000,13982205,0,0,3,9,1,2022,2022-06,06-JUNE,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1991,47.6347,-121.958,98053,743.7,14604.8,2090,350,2,3,2.25,0
217700050,28/10/2022,395000,14025453,0,0,3,9,1,2022,2022-10,10-OCTOBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1960,47.7774,-122.35,98133,542.5,2948,1350,430,1,3,2.25,0
225069013,21/06/2022,806000,10795154,0,0,3,9,1,2022,2022-06,06-JUNE,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1997,47.6778,-121.994,98053,762,62933.3,2500,0,1,4,2.5,0
240000031,11/03/2023,322000,11279487,0,0,3,9,1,2023,2023-03,03-MARCH,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1960,47.4253,-122.283,98188,591.3,3109,1360,580,1,4,2.25,0
240000031,11/03/2023,322000,11279487,0,0,3,9,1,2023,2023-03,03-MARCH,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1960,47.4253,-122.283,98188,591.3,3109,1360,580,1,4,2.25,0
255400060,06/12/2022,910000,13506128,0,0,3,9,1,2022,2022-12,12-DECEMBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2001,47.6039,-122.06,98074,1143,2523.4,3750,0,2,5,2.75,0
259800410,04/11/2022,445000,11383690,0,0,3,9,1,2022,2022-11,11-NOVEMBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1966,47.6289,-122.119,98008,533.4,2194.6,1750,0,1,3,1.75,0
259801110,26/08/2022,439000,12399417,0,0,3,9,1,2022,2022-08,08-AUGUST,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1965,47.6285,-122.118,98008,381,2142.7,1250,0,1,3,1.75,0
272000320,03/11/2022,398000,12920911,0,0,3,9,1,2022,2022-11,11-NOVEMBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1998,47.5879,-122.299,98144,399.3,913.2,1310,0,2,3,1.5,0
272000355,06/11/2022,325000,11312464,0,0,3,9,1,2022,2022-11,11-NOVEMBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1998,47.5873,-122.299,98144,399.3,913.8,1310,0,2,3,1.5,0
291310390,02/09/2022,355000,12806218,0,0,3,9,1,2022,2022-09,09-SEPTEMBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2005,47.5339,-122.067,98027,440.4,331.3,1300,145,2,3,2.25,0
293070270,02/11/2022,922755,10348976,0,0,3,9,1,2022,2022-11,11-NOVEMBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2014,47.6178,-122.055,98074,1085.1,1509.1,3560,0,2,4,3.5,0
293760210,24/08/2022,998000,13371384,0,0,3,9,1,2022,2022-08,08-AUGUST,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2004,47.5556,-122.03,98029,1258.8,3171.1,4130,0,2,5,4.5,0
301400850,18/02/2023,260000,11380415,0,0,3,9,1,2023,2023-02,02-FEBRUARY,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2011,47.3452,-122.215,98002,453.8,853.4,1489,0,2,3,2.25,0
301400850,18/02/2023,260000,11380415,0,0,3,9,1,2023,2023-02,02-FEBRUARY,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2011,47.3452,-122.215,98002,453.8,853.4,1489,0,2,3,2.25,0
303800020,11/05/2023,425000,13014145,0,0,3,9,1,2023,2023-05,05-may,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1986,47.3411,-122.197,98092,1027.2,4245.6,2650,720,2,3,2.75,0
303800020,11/05/2023,425000,13014145,0,0,3,9,1,2023,2023-05,05-may,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1986,47.3411,-122.197,98092,1027.2,4245.6,2650,720,2,3,2.75,0
305500140,10/05/2023,365000,13028745,0,0,3,9,1,2023,2023-05,05-may,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2005,47.4362,-122.178,98058,670.6,1235,2200,0,2,3,2.5,0
305500140,10/05/2023,365000,13028745,0,0,3,9,1,2023,2023-05,05-may,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2005,47.4362,-122.178,98058,670.6,1235,2200,0,2,3,2.5,0
312000265,02/05/2023,375000,10308638,0,0,3,9,1,2023,2023-05,05-may,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1950,47.557,-122.395,98136,240.8,1560.6,790,0,1,2,1,0
312000265,02/05/2023,375000,10308638,0,0,3,9,1,2023,2023-05,05-may,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1950,47.557,-122.395,98136,240.8,1560.6,790,0,1,2,1,0
322069153,25/08/2022,364250,11796074,0,0,3,9,1,2022,2022-08,08-AUGUST,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1994,47.4213,-122.033,98038,694.9,65190.3,2280,0,2,3,2.5,0
323059316,03/05/2023,535000,12833310,0,0,3,9,1,2023,2023-05,05-may,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2003,47.5104,-122.154,98059,972.3,1883.1,3190,0,2,5,2.5,0
323059316,03/05/2023,535000,12833310,0,0,3,9,1,2023,2023-05,05-may,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2003,47.5104,-122.154,98059,972.3,1883.1,3190,0,2,5,2.5,0
326069101,03/12/2022,515000,12772324,0,0,3,9,1,2022,2022-12,12-DECEMBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1986,47.7754,-122.032,98077,649.2,67049.3,2130,0,2,3,2.5,0
342000036,30/06/2022,540000,12168018,0,0,3,9,1,2022,2022-06,06-JUNE,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1994,47.6081,-122.289,98122,402.3,548.6,1320,0,2,3,2.25,0
390100060,19/04/2023,325000,11578911,0,0,3,9,1,2023,2023-04,04-APRIL,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1951,47.7565,-122.339,98133,317,2298.5,1040,0,1,3,1,0
390100060,19/04/2023,325000,11578911,0,0,3,9,1,2023,2023-04,04-APRIL,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1951,47.7565,-122.339,98133,317,2298.5,1040,0,1,3,1,0
421049254,30/09/2022,179000,12160458,0,0,3,9,1,2022,2022-09,09-SEPTEMBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1977,47.3302,-122.305,98003,301.8,2670,990,0,1,2,1,0
424069264,20/05/2022,749000,14494367,0,0,3,9,1,2022,2022-05,05-may,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1998,47.5937,-122.047,98075,893.1,5547.1,2930,0,2,4,2.5,0
425049181,10/09/2022,350000,10387082,0,0,3,9,1,2022,2022-09,09-SEPTEMBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2003,47.6761,-122.3,98115,326.1,285.6,1070,0,3,2,1.5,0
439000230,27/04/2023,805000,13040814,0,0,3,9,1,2023,2023-04,04-APRIL,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1952,47.6932,-122.3,98115,743.7,3014.2,1540,900,1,4,2.25,0
439000230,27/04/2023,805000,13040814,0,0,3,9,1,2023,2023-04,04-APRIL,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1952,47.6932,-122.3,98115,743.7,3014.2,1540,900,1,4,2.25,0
439200035,15/11/2022,740000,11712089,0,0,3,9,1,2022,2022-11,11-NOVEMBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1959,47.686,-122.297,98115,780.3,2103.1,1480,1080,1,4,2.75,0
475000176,20/12/2022,436000,13395298,0,0,3,9,1,2022,2022-12,12-DECEMBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2006,47.6684,-122.365,98107,350.5,363.6,1020,130,2,3,2.5,0
476000324,14/10/2022,460000,11883454,0,0,3,9,1,2022,2022-10,10-OCTOBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2005,47.6704,-122.391,98107,417.6,363.9,1370,0,3,3,3.25,0
480000170,25/06/2022,480000,13737889,0,0,3,9,1,2022,2022-06,06-JUNE,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1902,47.661,-122.338,98103,457.2,1042.4,1500,0,1,2,1,0
522059352,24/03/2023,358800,13631291,0,0,3,9,1,2023,2023-03,03-MARCH,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1996,47.4204,-122.201,98031,656.8,2481.1,2155,0,2,4,2.5,0
522059352,24/03/2023,358800,13631291,0,0,3,9,1,2023,2023-03,03-MARCH,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1996,47.4204,-122.201,98031,656.8,2481.1,2155,0,2,4,2.5,0
524069075,22/10/2022,450000,14015244,0,0,3,9,1,2022,2022-10,10-OCTOBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1978,47.5887,-122.064,98075,746.8,6202.1,1410,1040,1,4,2.5,0
526059224,21/09/2022,260000,13037603,0,0,3,9,1,2022,2022-09,09-SEPTEMBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1977,47.7721,-122.206,98011,502.9,2217.7,1010,640,1,4,1.75,0
534000195,11/11/2022,510000,11284741,0,0,3,9,1,2022,2022-11,11-NOVEMBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1940,47.6982,-122.362,98117,417.6,2042.2,1370,0,1,3,1.75,2012
538000390,26/10/2022,337500,12449718,0,0,3,9,1,2022,2022-10,10-OCTOBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1999,47.3539,-122.024,98038,630.9,1432,2070,0,2,5,2.5,0
567000401,19/04/2023,546000,12340550,0,0,3,9,1,2023,2023-04,04-APRIL,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2008,47.5928,-122.295,98144,640.1,425.8,1580,520,3,4,2.5,0
567000401,19/04/2023,546000,12340550,0,0,3,9,1,2023,2023-04,04-APRIL,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2008,47.5928,-122.295,98144,640.1,425.8,1580,520,3,4,2.5,0
623049232,13/07/2022,115000,11099707,0,0,3,9,1,2022,2022-07,07-JULY,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1952,47.511,-122.348,98146,167.6,2432.3,550,0,1,2,0.75,0
626049058,02/05/2023,275000,12677489,0,0,3,9,1,2023,2023-05,05-may,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1959,47.7753,-122.355,98133,783.3,5252.9,1300,1270,1,5,2.5,0
626049058,02/05/2023,275000,12677489,0,0,3,9,1,2023,2023-05,05-may,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1959,47.7753,-122.355,98133,783.3,5252.9,1300,1270,1,5,2.5,0
629500170,24/03/2023,679950,10545611,0,0,3,9,1,2023,2023-03,03-MARCH,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2001,47.5835,-121.996,98075,868.7,1726.4,2850,0,2,4,2.5,0
629500170,24/03/2023,679950,10545611,0,0,3,9,1,2023,2023-03,03-MARCH,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2001,47.5835,-121.996,98075,868.7,1726.4,2850,0,2,4,2.5,0
629810350,19/05/2022,815000,12323493,0,0,3,9,1,2022,2022-05,05-may,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1998,47.6055,-122.013,98074,1063.1,2930.3,3488,0,2,4,2.75,0
642800130,11/05/2023,724500,11137514,0,0,3,9,1,2023,2023-05,05-may,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2011,47.5794,-122.03,98075,987.6,1275.6,2770,470,2,3,3.25,0
642800130,11/05/2023,724500,11137514,0,0,3,9,1,2023,2023-05,05-may,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2011,47.5794,-122.03,98075,987.6,1275.6,2770,470,2,3,3.25,0
662310900,18/02/2023,350000,12178656,0,0,3,9,1,2023,2023-02,02-FEBRUARY,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1998,47.2831,-122.346,98023,832.1,2247,2730,0,2,3,2.5,0
662310900,18/02/2023,350000,12178656,0,0,3,9,1,2023,2023-02,02-FEBRUARY,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1998,47.2831,-122.346,98023,832.1,2247,2730,0,2,3,2.5,0
686550040,17/06/2022,1240000,11529514,0,0,3,9,1,2022,2022-06,06-JUNE,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1990,47.6005,-122.199,98004,1164.3,4030.7,3280,540,2,4,3.5,0
704450070,05/07/2022,450000,14383594,0,0,3,9,1,2022,2022-07,07-JULY,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1993,47.7347,-122.226,98028,606.6,3899.3,1990,0,2,3,2.5,0
714000195,11/11/2022,510000,13215189,0,0,3,9,1,2022,2022-11,11-NOVEMBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1947,47.6696,-122.267,98105,423.7,1689.8,930,460,1,2,1,0
723049476,22/07/2022,203000,13750408,0,0,3,9,1,2022,2022-07,07-JULY,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1960,47.5,-122.347,98146,496.8,2787.4,1630,0,1,3,2.25,0
723099044,05/08/2022,433200,12771032,0,0,3,9,1,2022,2022-08,08-AUGUST,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2002,47.4848,-121.698,98045,632.5,4937.8,2075,0,2,3,2.5,0
745530180,15/03/2023,870000,11851431,0,0,3,9,1,2023,2023-03,03-MARCH,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2013,47.7339,-122.209,98011,1370.1,3072.1,3580,915,2,5,3.5,0
745530180,15/03/2023,870000,11851431,0,0,3,9,1,2023,2023-03,03-MARCH,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2013,47.7339,-122.209,98011,1370.1,3072.1,3580,915,2,5,3.5,0
798000337,29/07/2022,325000,13513938,0,0,3,9,1,2022,2022-07,07-JULY,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1963,47.4999,-122.327,98168,594.4,3810,1330,620,1,4,1.75,0
808300180,09/02/2023,454000,14794109,0,0,3,9,1,2023,2023-02,02-FEBRUARY,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2000,47.7247,-121.959,98019,926.6,3816.7,3040,0,2,4,2.5,0
808300180,09/02/2023,454000,14794109,0,0,3,9,1,2023,2023-02,02-FEBRUARY,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2000,47.7247,-121.959,98019,926.6,3816.7,3040,0,2,4,2.5,0
809002610,16/07/2022,485000,13310654,0,0,3,9,1,2022,2022-07,07-JULY,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1909,47.6368,-122.355,98109,350.5,780.3,1150,0,2,4,1,0
811000050,29/12/2022,826000,11797285,0,0,3,9,1,2022,2022-12,12-DECEMBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1929,47.6312,-122.353,98109,576.1,1524,1890,0,2,3,1.5,0
818100030,02/12/2022,310000,12399424,0,0,3,9,1,2022,2022-12,12-DECEMBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1994,47.3921,-122.163,98042,588.3,2137.9,1930,0,2,4,2.5,0
820000012,25/08/2022,401000,14308933,0,0,3,9,1,2022,2022-08,08-AUGUST,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2001,47.7186,-122.314,98125,539.5,602.6,1770,0,3,3,3.25,0
820000018,12/10/2022,387500,14473004,0,0,3,9,1,2022,2022-10,10-OCTOBER,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2001,47.7185,-122.313,98125,566.9,676,1860,0,3,3,3.25,0
822039025,29/04/2023,777700,10332850,0,0,3,9,1,2023,2023-04,04-APRIL,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1995,47.4096,-122.449,98070,688.8,76645,2260,0,2,3,2.5,0
822039025,29/04/2023,777700,10332850,0,0,3,9,1,2023,2023-04,04-APRIL,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1995,47.4096,-122.449,98070,688.8,76645,2260,0,2,3,2.5,0
822069112,21/04/2023,1350000,13926074,0,0,3,9,1,2023,2023-04,04-APRIL,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2002,47.4097,-122.063,98038,1594.1,27218,5230,0,3,4,4.75,0
822069112,21/04/2023,1350000,13926074,0,0,3,9,1,2023,2023-04,04-APRIL,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2002,47.4097,-122.063,98038,1594.1,27218,5230,0,3,4,4.75,0
824059042,28/05/2022,1886700,14835261,0,0,3,9,1,2022,2022-05,05-may,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2004,47.5873,-122.202,98004,1274.1,5466.6,4180,0,2,5,3.5,0
859000018,12/08/2022,342000,14220010,0,0,3,9,1,2022,2022-08,08-AUGUST,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,2008,47.525,-122.366,98106,530.4,678.5,1320,420,2,3,2.5,0
869700320,04/08/2022,300000,13462969,0,0,3,9,1,2022,2022-08,08-AUGUST,E-SIN VISTA,C-BUENAS CONDICIONES,ESTADOS UNIDOS,FRANK PAINTER - NEOHOMES,1999,47.4908,-122.154,98059,384,1175,1260,0,2,3,2.5,0
